Article_Number,Spatial_Scale,Primary_Enviro_Variable,Secondary_Enviro_Variable,Primary_Management_Type,Secondary_Management_Type,Third_Management_Type,Primary_Farm_Type,Secondary_Farm_Type,Primary_Farm_Specific,Secondary_Farm_Specific,Continent,Country,Climate,Biome,Lat,Long,Primary_Habitat,Secondary_Habitat,Primary_Taxon,Secondary_Taxon,Third_Taxon,Primary_Ecosystem_Service,Secondary_Ecosystem_Service,Primary_Method,Secondary_Method,Third_Method,Primary_Result,Secondary_Result,Third_Result,Fourth_Result,Functional_Groups,Primary_Functional,Secondary_Functional,Third_Functional,Notes
1,Both,Proportion_Farming,Proportion_Habitat,Unspecified,NA,NA,Orchid,NA,Olive_Grove,NA,Europe,Spain,Mediterrane,Mediterrane,NA,NA,Mediterranean_scrubland,NA,Diptera,NA,NA,Pollination,Natural_Enemies,Sticky_Traps,NA,NA,Abundance,Richness,Composition,NA,No,NA,NA,NA,
2,No_Enviro_Variable,NA,NA,Intensity_Gradient,NA,NA,Agroforestry,Cropping,Various_Palm_Plantations,Rice,Asia,India,Tropical_Subtropical,Tropical_Subtropical_Forest,11.25,76.283333,Evergreen_Forest,Moist_Deciduous_Forest,Endogeic_Community,NA,NA,Decomp_Soil_Properties,NA,Soil_Monoliths,NA,NA,Abundance,Richness,NA,NA,No,NA,NA,NA,
3,Site,Soil_Properties,NA,Unspecified,NA,NA,Agroforestry,NA,Eucalyptus_Plantation,Acacia_Plantation,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Forest,-23.033611,-49.625,NA,NA,Endogeic_Community,NA,NA,Decomp_Soil_Properties,NA,Soil_Monoliths,Leaf_Litter_Sample,NA,Density,Diversity,Richness,NA,No,NA,NA,NA,
4,Landscape,Distance_To_Habitat,NA,Unspecified,NA,NA,Agroforestry,NA,Oil_Palm_Plantation,NA,Asia,Indonesia,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,Lowland_Dipterocarp_Forest,NA,Flying_Community,Coleoptera,NA,Pollination,NA,Sticky_Traps,NA,NA,Abundance,NA,NA,NA,No,NA,NA,NA,
5,Both,Proportion_Habitat,NA,Conventional,AgEnviroScheme,NA,Unspecified,NA,Unspecified,NA,Europe,Ireland,Temperate,Temperate_Forest,NA,NA,Grassland,NA,Flying_Community,NA,NA,Biodiversity_Ecosystem_Resilience,NA,Flight_interception_traps,NA,NA,Abundance,Diversity,NA,NA,Yes,Trophic_Group,NA,NA,
6,Site,Proportion_Veg,Proportion_Bare_Ground,Unspecified,NA,NA,Cropping,Livestock,Cereal,Cattle_Grazing,Oceania,Australia,Temperate,Temperate_Forest,NA,NA,Woodland,Grassland,Formicidae,NA,NA,Bio_Indicators,NA,Pitfall_trap,NA,NA,Abundance,Richness,NA,NA,Yes,Trophic_Group,NA,NA,
7,Site,Veg_Species,NA,Conventional,AgEnviroScheme,NA,Cropping,Livestock,Cattle_Grazing,Silage,Europe,Ireland,Temperate,Temperate_Forest,NA,NA,Grassland,NA,Surface_Active,NA,NA,Bio_Indicators,NA,Pitfall_trap,NA,NA,Abundance,Richness,NA,NA,No,NA,NA,NA,
8,Site,Veg_Species_Rich,Proportion_Flowers,Organic,Conventional,NA,Cropping,NA,Wheat,NA,Europe,Germany,Temperate,Temperate_Forest,NA,NA,NA,NA,Hymenoptera,NA,NA,Pollination,NA,Visual,Sweep_Netting,NA,Abundance,Richness,NA,NA,No,NA,NA,NA,
9,Site,Veg_Species,NA,Unspecified,NA,NA,Unspecified,NA,Unspecified,NA,Europe,Belgium,Temperate,Temperate_Forest,50.6,4.566667,NA,NA,Hymenoptera,NA,NA,Pollination,NA,Visual,NA,NA,Density,Insect_Flower_Interactions,NA,NA,No,NA,NA,NA,
10,Site,Veg_Species_Rich,Proportion_Veg,Conventional,Agroecological,NA,Cropping,NA,Various_Crops,NA,South_America,Argentina,Temperate,Temperate_Grasslands,31.833333,64.333333,NA,NA,Plant_Dwelling,NA,NA,Biological_Control,NA,Beat_Sheet,NA,NA,Abundance,Richness,Diversity,NA,Yes,Trophic_Group,NA,NA,
11,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Agroforestry,NA,Oil_Palm_Plantation,NA,Asia,Malaysia,Tropical_Subtropical,Tropical_Subtropical_Forest,2.783611,102.922778,NA,NA,Surface_Active,NA,NA,Biodiversity_Ecosystem_Resilience,NA,Pitfall_trap,NA,NA,Abundance,Composition,NA,NA,Yes,Trophic_Group,NA,NA,
12,Site,Proportion_Veg,Veg_Species_Rich,Unspecified,NA,NA,Orchid,NA,Almond_Orchid,NA,Oceania,Australia,Temperate,Temperate_Grasslands,-34,142,Mallee_Woodland,NA,Hymenoptera,Diptera,NA,Pollination,NA,Pan_trap,NA,NA,Abundance,Richness,Composition,NA,No,NA,NA,NA,
13,Site,Inflorescence,NA,Conventional,AgEnviroScheme,NA,Cropping,NA,Wheat,NA,Europe,France,Temperate,Temperate_Forest,46.483333,-0.966667,NA,NA,Coleoptera,Hymenoptera,Lepidoptera,Pollination,Natural_Enemies,Pitfall_trap,Visual,NA,Abundance,NA,NA,NA,No,NA,NA,NA,
14,Site,Distance_To_Flowers,NA,Unspecified,NA,NA,Veg_Fruit_Ground,NA,Faba_Bean,NA,Europe,Sweden,Boreal,Boreal,NA,NA,NA,NA,Flying_Community,Surface_Active,NA,Pollination,Biological_Control,Visual,Pitfall_trap,NA,Density,Diversity,Behaviour_Activity,NA,No,NA,NA,NA,
15,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Cropping,NA,Maize,Switchgrass,North_America,USA,Temperate,Temperate_Forest,42.405,-85.400556,Prairie,Forest,Formicidae,NA,NA,Bio_Indicators,NA,Pitfall_trap,NA,NA,Richness,Diversity,Composition,NA,No,NA,NA,NA,
16,No_Enviro_Variable,NA,NA,Organic,Conventional,NA,Cropping,NA,Wheat,NA,North_America,USA,Temperate,Temperate_Forest,42.405,-85.400556,NA,NA,Formicidae,NA,NA,Bio_Indicators,NA,Pitfall_trap,NA,NA,Composition,Richness,Behaviour_Activity,NA,No,NA,NA,NA,
17,No_Enviro_Variable,NA,NA,Intensity_Gradient,NA,NA,Cropping,NA,Various_Annual_Crops,Various_Perennial_Crops,Europe,Croatia,Temperate,Temperate_Forest,45.816667,15.983333,Forest,Meadow,Formicidae,NA,NA,Decomp_Soil_Properties,NA,Pitfall_trap,NA,NA,Richness,Abundance,Diversity,NA,No,NA,NA,NA,
18,Landscape,Proportion_Habitat,NA,Intensity_Gradient,NA,NA,Orchid,NA,Acai_Fruit,NA,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Forest,-1.45,-48.5,Floodplain_Forest,NA,Hymenoptera,Formicidae,Coleoptera,Pollination,NA,Visual,NA,NA,Abundance,Insect_Flower_Interactions,NA,NA,Yes,Specialised_Or_Not,NA,NA,
19,Landscape,Landscape_Complexity,NA,Organic,NA,NA,Veg_Fruit_Ground,NA,Various_Veg,NA,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Grasslands,NA,NA,NA,NA,Formicidae,NA,NA,Natural_Enemies,NA,Sentinel_Artificial_Prey,Pitfall_trap,NA,Predation_Rate,Richness,Occurrence,NA,No,NA,NA,NA,
20,Site,Proportion_Habitat,NA,Unspecified,NA,NA,Cropping,NA,Various_Crops,NA,Europe,Spain,Mediterrane,Mediterrane,36.733333,-2.733333,NA,NA,Aphididae,Plant_Dwelling,NA,Biological_Control,NA,Sticky_Traps,Suction,NA,Composition,Abundance,NA,NA,No,NA,NA,NA,
21,Landscape,Landscape_Complexity,NA,Organic,NA,NA,Cropping,NA,Cereal,NA,Europe,Sweden,Boreal,Boreal,NA,NA,NA,NA,Parasitoid,Plant_Dwelling,Surface_Active,Biological_Control,NA,Live_Capture,Pitfall_trap,NA,Abundance,Richness,Parasitism,NA,Yes,Trophic_Group,NA,NA,
22,Site,Distance_To_Habitat,NA,Unspecified,NA,NA,Agroforestry,NA,Oil_Palm_Plantation,NA,Asia,Malaysia,Tropical_Subtropical,Tropical_Subtropical_Forest,117.083333,-4.1,Riparian,River,Formicidae,Coleoptera,NA,Decomp_Soil_Properties,NA,Baited_Pitfall,NA,NA,Richness,Diversity,Abundance,NA,No,NA,NA,NA,
23,Site,Distance_To_Habitat,Proportion_Habitat,Unspecified,NA,NA,Cropping,NA,Soybean,NA,South_America,Argentina,Tropical_Subtropical,Tropical_Subtropical_Grasslands,-31.166667,-64,Forest,NA,Plant_Dwelling,NA,NA,Biological_Control,NA,Beat_Sheet,Sentinel_Artificial_Prey,NA,Abundance,Richness,Predation_Rate,NA,Yes,Trophic_Group,NA,NA,
24,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Veg_Fruit_Ground,NA,Various_Veg,NA,Africa,Ghana,Tropical_Subtropical,Tropical_Subtropical_Grasslands,9.423,-0.835,Grassland,Forest,Surface_Active,Flying_Community,NA,Biodiversity_Ecosystem_Resilience,NA,Pitfall_trap,Pan_Trap,NA,Abundance,Richness,Diversity,Composition,Yes,Trophic_Group,NA,NA,
25,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Cropping,NA,Flowering_Fields,Wheat,Europe,Germany,Temperate,Temperate_Forest,NA,NA,Forest,NA,Surface_Active,Flying_Community,NA,Pollination,Natural_Enemies,Pitfall_trap,Pan_Trap,NA,Richness,Density,Behaviour_Activity,Composition,No,NA,NA,NA,
26,Both,Distance_To_Habitat,NA,Intensively_Managed,NA,NA,Veg_Fruit_Ground,NA,Various_Veg,NA,Europe,Netherlands,Temperate,Temperate_Forest,NA,NA,NA,NA,Hymenoptera,Diptera,NA,Pollination,NA,Visual,NA,NA,Density,Abundance,NA,NA,No,NA,NA,NA,
27,Site,Flower_Species_Rich,NA,Organic,NA,NA,Veg_Fruit_Ground,NA,Tomato,NA,Europe,Italy,Mediterrane,Mediterrane,43.666667,10.316667,NA,NA,Surface_Active,Flying_Community,NA,Pollination,Biological_Control,Visual,Pitfall_trap,NA,Abundance,Composition,NA,NA,Yes,Ecosystem_Service,NA,NA,
28,Site,Flower_Species_Rich,NA,Unspecified,NA,NA,Veg_Fruit_Ground,NA,Bean,NA,Africa,Tanzania,Tropical_Subtropical,Tropical_Subtropical_Grasslands,NA,NA,Woodland,Wetland,Hymenoptera,Coleoptera,Arachnida,Biodiversity_Ecosystem_Resilience,NA,Pan_trap,Visual,NA,Abundance,Insect_Flower_Interactions,Richness,NA,Yes,Ecosystem_Service,NA,NA,
29,No_Enviro_Variable,NA,NA,Organic,Conventional,Agroecological,Veg_Fruit_Ground,NA,Tomato,NA,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Grasslands,NA,NA,NA,NA,Hemiptera,Plant_Dwelling,NA,Biological_Control,NA,Sticky_Traps,NA,NA,Richness,Diversity,Abundance,Survival,No,NA,NA,NA,
30,Site,Wooded_Landscape_Features,NA,Unspecified,NA,NA,Livestock,Cropping,Cereal,Various_Grazing,Oceania,Australia,Temperate,Temperate_Forest,NA,NA,Woodland,Eucalypt,Hymenoptera,Diptera,NA,Pollination,NA,Vane_Trap,NA,NA,Richness,Diversity,NA,NA,No,NA,NA,NA,
31,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Cropping,NA,Cereal,Forage_Crops,Europe,UK,Temperate,Temperate_Forest,NA,NA,Woodland,Grassland,Hymenoptera,NA,NA,Pollination,NA,Live_Capture,NA,NA,Genetics,Nest_Density,NA,NA,No,NA,NA,NA,
32,Site,Distance_To_Habitat,NA,Intensively_Managed,NA,NA,Cropping,NA,Cereal,NA,Europe,Germany,Temperate,Temperate_Forest,51.532717,9.935154,Grassland,NA,Hymenoptera,Diptera,NA,Pollination,NA,Visual,NA,NA,Insect_Flower_Interactions,NA,NA,NA,No,NA,NA,NA,
33,Landscape,Proportion_Habitat,NA,Unspecified,NA,NA,Cropping,NA,Oilseed_Rape_Fields,NA,Asia,China,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,Forest,Grassland,Hymenoptera,NA,NA,Pollination,NA,Pan_trap,NA,NA,Abundance,Diversity,NA,NA,No,NA,NA,NA,
34,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Livestock,NA,Dairy,NA,Oceania,New_Zealand,Temperate,Temperate_Grasslands,-43.633333,172.433333,Forest,Riparian,Flying_Community,Arachnida,Gastropoda,Various,NA,Pan_trap,Pitfall_trap,NA,Composition,Abundance,NA,NA,No,NA,NA,NA,"ES included = Biological control, Pollinations and bioindicators "
35,Landscape,Landscape_Complexity,NA,Unspecified,NA,NA,Cropping,NA,Wheat,NA,Asia,China,Temperate,Temperate_Forest,NA,NA,Forest,NA,Coleoptera,Aphididae,NA,Biological_Control,NA,Visual,NA,NA,Abundance,NA,NA,NA,No,NA,NA,NA,
36,No_Enviro_Variable,NA,NA,Intensity_Gradient,NA,NA,Orchid,NA,Mango,NA,Africa,Côte_d’Ivoire,Tropical_Subtropical,Tropical_Subtropical_Grasslands,9.566667,-5.616667,Savannah,NA,Isoptera,NA,NA,Ecosystem_Engineer,NA,Live_Capture,NA,NA,Richness,Diversity,NA,NA,Yes,Trophic_Group,NA,NA,
37,Landscape,Landscape_Complexity,NA,Unspecified,NA,NA,Cropping,NA,Maize,NA,Europe,Spain,Mediterrane,Mediterrane,41.803389,0.546047,Forest,NA,Plant_Dwelling,Flying_Community,NA,Biological_Control,NA,Sticky_Traps,NA,NA,Abundance,NA,NA,NA,Yes,Trophic_Group,NA,NA,
38,Site,Soil_Properties,Proportion_Veg,Unspecified,NA,NA,Livestock,Cropping,Cattle_Grazing,Maize,Africa,South_Africa,Tropical_Subtropical,Tropical_Subtropical_Grasslands,-23.15,30.39,Savannah,NA,Formicidae,NA,NA,Ecosystem_Engineer,NA,Pitfall_trap,NA,NA,Richness,Composition,Abundance,Occurrence,Yes,Trophic_Group,NA,NA,
39,Landscape,Proportion_Habitat,Flower_Avalibility,Unspecified,NA,NA,Cropping,NA,Wheat,Bean,Europe,Switzerland,Temperate,Temperate_Forest,NA,NA,Forest,Grassland,Aphididae,Plant_Dwelling,NA,Biological_Control,NA,Visual,NA,NA,Density,Population_Change,NA,NA,No,NA,NA,NA,
40,No_Enviro_Variable,NA,NA,Organic,Conventional,NA,Veg_Fruit_Ground,NA,Strawberry,NA,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,Forest,NA,Endogeic_Community,NA,NA,Decomp_Soil_Properties,NA,Soil_Monoliths,NA,NA,Richness,Diversity,Composition,Abundance,No,NA,NA,NA,
41,Landscape,Landscape_Complexity,Edge_Density,Climate_Smart,NA,NA,Various,NA,Dairy,Various_Crops,Africa,Tanzania,Tropical_Subtropical,Tropical_Subtropical_Grasslands,NA,NA,Forest,NA,Surface_Active,Flying_Community,Plant_Dwelling,Biological_Control,NA,Pitfall_trap,Pan_Trap,Sticky_Traps,Abundance,Diversity,NA,NA,Yes,Trophic_Group,NA,NA,
42,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Agroforestry,NA,Cocao,NA,Asia,Indonesia,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,NA,NA,Lepidoptera,Formicidae,Arachnida,Biodiversity_Ecosystem_Resilience,NA,Baited_Pitfall,Na,NA,Richness,NA,NA,NA,No,NA,NA,NA,
43,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Agroforestry,NA,Spruce_Plantation,NA,Europe,Ireland,Temperate,Temperate_Forest,NA,NA,Forest,NA,Flying_Community,Arachnida,Coleoptera,Biodiversity_Ecosystem_Resilience,NA,Thermal_Fogging,NA,NA,Composition,Richness,Abundance,NA,Yes,Trophic_Group,Habitat_Preference,Hunting_Style,
44,No_Enviro_Variable,NA,NA,Organic,IFPMD,IFP,Orchid,NA,Apple,NA,Oceania,New_Zealand,Temperate,Temperate_Forest,-39.533333,176.833333,NA,NA,Surface_Active,Flying_Community,Plant_Dwelling,Biodiversity_Ecosystem_Resilience,NA,Pitfall_trap,Sticky_Traps,Branch_Tapping,Composition,Abundance,Richness,Diversity,Yes,Trophic_Group,NA,NA,
45,Both,Proportion_Habitat,Proportion_Flowers,Intensively_Managed,NA,NA,Cropping,NA,Various_Crops,NA,Europe,Switzerland,Temperate,Temperate_Forest,NA,NA,Forest,NA,Plant_Dwelling,Flying_Community,NA,Biodiversity_Ecosystem_Resilience,NA,Sweep_Netting,NA,NA,Abundance,Richness,Diversity,NA,Yes,Ecosystem_Service,NA,NA,
46,Landscape,Proportion_Habitat,NA,Conventional,NA,NA,Cropping,NA,Oilseed_Rape_Fields,NA,Europe,Germany,Temperate,Temperate_Forest,NA,NA,Forest,Grassland,Coleoptera,Arachnida,Parasitoid,Biological_Control,NA,Photoeclector_Trap,Visual,Pitfall_trap,Density,Parasitism,NA,NA,No,NA,NA,NA,
47,No_Enviro_Variable,NA,NA,Intensively_Managed,NA,NA,Orchid,Veg_Fruit_Ground,Apple,Berries,North_America,Canada,Temperate,Temperate_Forest,NA,NA,Moist_Deciduous_Forest,NA,Hymenoptera,NA,NA,Pollination,NA,Visual,NA,NA,Richness,Abundance,Insect_Flower_Interactions,Composition,No,NA,NA,NA,
48,No_Enviro_Variable,NA,NA,Intensity_Gradient,NA,NA,Cropping,NA,Rice,NA,Asia,Japan,Temperate,Temperate_Forest,35.483333,135.866667,Grassland,NA,Plant_Dwelling,Flying_Community,NA,Pollination,Pests_Herbivory,Visual,NA,NA,Richness,Composition,Insect_Flower_Interactions,NA,No,NA,NA,NA,
49,Landscape,Landscape_Complexity,NA,Conventional,NA,NA,Cropping,NA,Oilseed_Rape_Fields,NA,Europe,Germany,Temperate,Temperate_Forest,NA,NA,NA,NA,Hymenoptera,NA,NA,Pollination,NA,Visual,NA,NA,Density,NA,NA,NA,No,NA,NA,NA,
50,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Livestock,NA,Dairy,Cheese_Production,Europe,France,Temperate,Temperate_Forest,NA,NA,Grassland,NA,Orthoptera,NA,NA,Ecosystem_Engineer,NA,Sweep_Netting,Live_Capture,NA,Richness,Composition,Diversity,NA,No,NA,NA,NA,
51,Landscape,Landscape_Complexity,NA,Intensity_Gradient,NA,NA,Veg_Fruit_Ground,Cropping,Various_Veg,Various_Crops,Europe,Multiple,Temperate,Temperate_Forest,NA,NA,NA,NA,Hymenoptera,Diptera,Lepidoptera,Pollination,NA,Visual,NA,NA,Richness,Abundance,NA,NA,No,NA,NA,NA,
52,Site,Proportion_Veg,Veg_Height,Unspecified,NA,NA,Cropping,NA,Various_Crops,NA,Africa,Tanzania,Tropical_Subtropical,Tropical_Subtropical_Grasslands,-2.75,37,Savannah,NA,Orthoptera,NA,NA,Bio_Indicators,NA,Sweep_Netting,Live_Capture,NA,Abundance,Richness,Composition,NA,No,NA,NA,NA,
53,Site,Distance_To_Habitat,NA,Organic,Conventional,NA,Orchid,NA,Mango,NA,Africa,South_Africa,Montane,Montane,NA,NA,NA,NA,Hymenoptera,Lepidoptera,Formicidae,Pollination,NA,Visual,Live_Capture,NA,Richness,Abundance,Diversity,NA,No,NA,NA,NA,
54,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Unspecified,NA,Unspecified,NA,Europe,Unspecified,Unspecified,Unspecified,5.195,-1.762222,Grassland,NA,Coleoptera,NA,NA,Natural_Enemies,NA,Pitfall_trap,NA,NA,Composition,Abundance,NA,NA,No,NA,NA,NA,
55,Both,Proportion_Farming,NA,Unspecified,NA,NA,Cropping,NA,Rice,Sugarcane,Asia,China,Tropical_Subtropical,Tropical_Subtropical_Forest,22.933333,108.216667,Eucalypt,NA,Flying_Community,Coleoptera,NA,Biodiversity_Ecosystem_Resilience,NA,Pitfall_trap,Pan_Trap,Sweep_Netting,Diversity,Richness,Abundance,NA,No,NA,NA,NA,
56,No_Enviro_Variable,NA,NA,Homegardens,NA,NA,Unspecified,NA,Unspecified,NA,Asia,Indonesia,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,Forest,NA,Flying_Community,Surface_Active,Plant_Dwelling,Biodiversity_Ecosystem_Resilience,NA,Vane_Trap,Pitfall_trap,Sweep_Netting,Abundance,Richness,NA,NA,No,NA,NA,NA,
57,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Silvoarable,NA,Grass,Eucalyptus_Plantation,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Forest,-21.55,-43.1,NA,NA,Hemiptera,Hymenoptera,NA,Bio_Indicators,NA,Malaise_Trap,NA,NA,Abundance,Richness,Diversity,NA,No,Trophic_Group,NA,NA,
58,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Cropping,NA,Rice,NA,Asia,Philippines,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,NA,NA,Plant_Dwelling,Parasitoid,NA,Biological_Control,Decomp_Soil_Properties,Suction,NA,NA,Richness,Density,Abundance,Composition,No,NA,NA,NA,
59,Landscape,Landscape_Complexity,NA,Unspecified,NA,NA,Cropping,NA,Buckwheat,NA,Asia,Japan,Temperate,Temperate_Forest,35.633333,-137.883333,Forest,NA,Flying_Community,Plant_Dwelling,NA,Pollination,NA,Visual,NA,NA,Insect_Flower_Interactions,NA,NA,NA,Yes,Size,NA,NA,
60,No_Enviro_Variable,NA,NA,Organic,Conventional,NA,Veg_Fruit_Ground,NA,Tomato,Lettuce,South_America,Argentina,Temperate,Temperate_Grasslands,-34.943544,-58.088956,NA,NA,Coleoptera,NA,NA,Ecosystem_Engineer,NA,Pitfall_trap,NA,NA,Abundance,Composition,NA,NA,No,NA,NA,NA,
61,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Silvopastoral,NA,Oil_Palm_Plantation,Cattle_Grazing,Asia,Indonesia,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,NA,NA,Coleoptera,NA,NA,Decomp_Soil_Properties,NA,Baited_Pitfall,NA,NA,Diversity,Abundance,Composition,NA,No,NA,NA,NA,
62,No_Enviro_Variable,NA,NA,Organic,Conventional,NA,Orchid,NA,Apple,NA,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Grasslands,NA,NA,Forest,Grassland,Flying_Community,Hemiptera,Coleoptera,Pollination,NA,Sweep_Netting,NA,NA,Diversity,Richness,Abundance,NA,No,NA,NA,NA,
63,Site,Veg_Diversity,Veg_Species_Abundance,Unspecified,NA,NA,Orchid,NA,Almond_Orchid,NA,Asia,Israel,Mediterrane,Mediterrane,NA,NA,Grassland,NA,Hymenoptera,NA,NA,Pollination,NA,Sweep_Netting,Pan_Trap,NA,Abundance,Composition,Insect_Flower_Interactions,NA,No,NA,NA,NA,
64,No_Enviro_Variable,NA,NA,Conventional,Agroecological,NA,Veg_Fruit_Ground,NA,Acerola,NA,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Forest,-3.892539,-41.098936,Tropical_Forest,NA,Surface_Active,Lepidoptera,Hymenoptera,Decomp_Soil_Properties,NA,Pitfall_trap,NA,NA,Diversity,Richness,Abundance,NA,Yes,Trophic_Group,Dispersal_Capacity,NA,
65,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Cropping,NA,Various_Crops,NA,Oceania,New_Zealand,Montane,Montane,-43.913333,172.668333,NA,NA,Hymenoptera,Diptera,NA,Pollination,NA,Visual,Sticky_Traps,NA,Abundance,Diversity,Richness,Composition,No,NA,NA,NA,
66,Site,Proportion_Flowers,Proportion_Veg,Organic,IPM,NA,Orchid,NA,Apple,NA,Europe,Greece,Temperate,Temperate_Forest,37.43705,22.46942,Forest,Natural_Hedges,Hymenoptera,Diptera,NA,Pollination,NA,Visual,NA,NA,Insect_Flower_Interactions,Composition,NA,NA,No,NA,NA,NA,
67,Site,Veg_Complexity,NA,Unspecified,NA,NA,Agroforestry,NA,Oil_Palm_Plantation,Acacia_Plantation,Asia,Malaysia,Tropical_Subtropical,Tropical_Subtropical_Forest,117.083333,4.1,Riparian,Rainforest,Coleoptera,NA,NA,Bio_Indicators,NA,Baited_Pitfall,NA,NA,Abundance,Diversity,Richness,Composition,Yes,Body_Length,Time_Active,Dung_Removal_Method,
