Article_Number,Spatial_Scale,Primary_Enviro_Variable,Secondary_Enviro_Variable,Primary_Management_Type,Secondary_Management_Type,Third_Management_Type,Primary_Farm_Type,Secondary_Farm_Type,Primary_Farm_Specific,Secondary_Farm_Specific,Continent,Country,Climate,Biome,Lat,Long,Primary_Habitat,Secondary_Habitat,Primary_Taxon,Secondary_Taxon,Third_Taxon,Primary_Ecosystem_Service,Secondary_Ecosystem_Service,Primary_Method,Secondary_Method,Third_Method,Primary_Result,Secondary_Result,Third_Result,Fourth_Result,Functional_Groups,Primary_Functional,Secondary_Functional,Third_Functional,Notes
68,No_Enviro_Variable,NA,NA,AgEnviroScheme,NA,NA,Cropping,Livestock,Various_Crops,Cattle_Grazing,Europe,England,Temperate,Temperate_Forest,NA,NA,Grassland,NA,Flying_Community,Surface_Active,Aphididae,Pollination,Biological_Control,Visual,NA,NA,Abundance,Richness,Insect_Flower_Interactions,NA,No,NA,NA,NA,
69,Site,Proportion_Habitat,Water,Unspecified,NA,NA,Cropping,NA,Various_Crops,Various_Veg,Europe,Multiple,Temperate,Temperate_Forest,43.890397,7.204205,Riparian,Floodplain,Water_Community,NA,NA,Bio_Indicators,NA,Water_Sample,NA,NA,Abundance,Richness,Diversity,Composition,Yes,Feeding_Stratergy,NA,NA,
70,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Cropping,NA,Clover,NA,Europe,Sweden,Boreal,Boreal,NA,NA,NA,NA,Hymenoptera,NA,NA,Pollination,NA,Live_Capture,NA,NA,Abundance,Richness,Composition,NA,No,NA,NA,NA,
71,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Livestock,NA,Cattle_Grazing,NA,North_America,USA,Temperate,Temperate_Forest,27.621833,-80.971133,Grassland,NA,Coleoptera,NA,NA,Decomp_Soil_Properties,NA,Baited_Pitfall,NA,NA,Abundance,Richness,NA,NA,Yes,Body_Length,Nesting_Strategy,Microhabitat_Preference,
72,No_Enviro_Variable,NA,NA,Organic,NA,NA,Veg_Fruit_Ground,NA,Tomato,Kale,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Grasslands,-15.824583,-48.252167,Riparian,NA,Flying_Community,Plant_Dwelling,NA,Biological_Control,NA,Malaise_Trap,Suction,NA,Richness,Abundance,Composition,NA,Yes,Trophic_Group,NA,NA,
73,No_Enviro_Variable,NA,NA,Conservation_Agriculture,NA,NA,Cropping,Livestock,Various_Crops,Cattle_Grazing,Africa,South_Africa,Montane,Montane,-28.909222,29.559861,NA,NA,Opisthopora,NA,NA,Bio_Indicators,NA,Soil_Monoliths,NA,NA,Richness,Abundance,NA,NA,No,NA,NA,NA,
74,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Cropping,Livestock,Soybean,Cattle_Grazing,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Forest,-29.757672,-52.144964,Grassland,NA,Opisthopora,NA,NA,Bio_Indicators,NA,Soil_Monoliths,NA,NA,Richness,NA,NA,NA,No,NA,NA,NA,
75,Both,Veg_Height,Landscape_Complexity,Low_Input,NA,NA,Unspecified,NA,Unspecified,NA,Europe,Hungary,Temperate,Temperate_Forest,NA,NA,Sand_Dunes,Grassland,Opisthopora,Arachnida,Hymenoptera,Biodiversity_Ecosystem_Resilience,NA,Soil_Monoliths,Live_Capture,Suction,Richness,Abundance,NA,NA,No,NA,NA,NA,
76,Landscape,Distance_To_Habitat,NA,Organic,Conventional,NA,Agroforestry,NA,Coffee,NA,South_America,Colombia,Tropical_Subtropical,Tropical_Subtropical_Grasslands,6.629167,-73.27,Forest,NA,Hymenoptera,Diptera,Lepidoptera,Pollination,NA,Visual,NA,NA,Abundance,Insect_Flower_Interactions,Richness,NA,No,NA,NA,NA,
77,No_Enviro_Variable,NA,NA,AgEnviroScheme,NA,NA,Cropping,NA,Wheat,Oilseed_Rape_Fields,Europe,UK,Temperate,Temperate_Forest,54.083333,-0.816667,NA,NA,Flying_Community,Surface_Active,Plant_Dwelling,Biodiversity_Ecosystem_Resilience,NA,Visual,Pitfall_trap,Sweep_Netting,Richness,Abundance,NA,NA,Yes,Trophic_Group,NA,NA,
78,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Orchid,NA,Citrus,NA,Africa,South_Africa,Desert,Desert,NA,NA,NA,NA,Lepidoptera,Parasitoid,NA,Biological_Control,NA,Live_Capture,Line_Trap_Pheromone,NA,Density,Parasitism,NA,NA,No,NA,NA,NA,
79,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Cropping,NA,Cereal,NA,Europe,Sweden,Boreal,Boreal,NA,NA,NA,NA,Hymenoptera,Diptera,NA,Pollination,NA,Sweep_Netting,NA,NA,Abundance,NA,NA,NA,No,NA,NA,NA,
80,Both,Distance_To_Habitat,NA,Unspecified,NA,NA,Orchid,NA,Grapefruit,Orange,South_America,Argentina,Tropical_Subtropical,Tropical_Subtropical_Grasslands,-23.133333,-64.333333,Premontane_Lowland_Forest,NA,Hymenoptera,Diptera,Lepidoptera,Pollination,NA,Visual,NA,NA,Richness,Insect_Flower_Interactions,Diversity,Composition,No,NA,NA,NA,
81,Site,Proportion_Veg,NA,Intensive_vs_Extensive,NA,NA,Livestock,NA,Cattle_Grazing,NA,Europe,Hungary,Temperate,Temperate_Forest,NA,NA,Grassland,NA,Hymenoptera,NA,NA,Pollination,NA,Sweep_Netting,NA,NA,Abundance,Richness,NA,NA,No,NA,NA,NA,
82,Landscape,Veg_Complexity,NA,Unspecified,NA,NA,Cropping,NA,Soybean,NA,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Grasslands,NA,NA,Forest,NA,Hymenoptera,NA,NA,Natural_Enemies,NA,Malaise_Trap,NA,NA,Richness,Abundance,Composition,NA,No,NA,NA,NA,
83,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Agroforestry,NA,Acacia_Plantation,NA,Asia,Indonesia,Tropical_Subtropical,Tropical_Subtropical_Grasslands,NA,NA,Grassland,Forest,Coleoptera,NA,NA,Bio_Indicators,NA,Baited_Pitfall,NA,NA,Richness,Abundance,Composition,NA,No,NA,NA,NA,
84,Both,Landscape_Complexity,Flower_Species_Rich,Unspecified,NA,NA,Livestock,Cropping,Cattle_Grazing,Various_Crops,South_America,Argentina,Temperate,Temperate_Grasslands,NA,NA,Grassland,Woodland,Diptera,Hymenoptera,Coleoptera,Pollination,NA,Live_Capture,NA,NA,Richness,Composition,NA,NA,No,NA,NA,NA,
85,Site,Veg_Height,Proportion_Veg,Intensity_Gradient,NA,NA,Cropping,NA,Canola,Cereal,Oceania,Australia,Temperate,Temperate_Forest,NA,NA,Grassland,NA,Coleoptera,Arachnida,Dermaptera,Natural_Enemies,NA,Pitfall_trap,NA,NA,Abundance,Composition,NA,NA,No,NA,NA,NA,
86,Site,Proportion_Veg,NA,Organic,Conventional,NA,Veg_Fruit_Ground,NA,Vineyard,NA,Asia,Israel,Mediterrane,Mediterrane,NA,NA,NA,NA,Hymenoptera,Plant_Dwelling,NA,Biological_Control,NA,Suction,NA,NA,Abundance,Richness,Composition,NA,No,NA,NA,NA,
87,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Orchid,NA,Stone_Fruit,NA,Europe,Spain,Mediterrane,Mediterrane,37.617972,-0.785583,NA,NA,Plant_Dwelling,Flying_Community,NA,Biodiversity_Ecosystem_Resilience,NA,Visual,Sweep_Netting,NA,Abundance,Diversity,Richness,NA,No,NA,NA,NA,
88,No_Enviro_Variable,NA,NA,Organic,NA,NA,Veg_Fruit_Ground,NA,Vineyard,NA,South_America,Chile,Mediterrane,Mediterrane,NA,NA,Sclerophyllous_Forest,Shrublands,Flying_Community,NA,NA,Food_Source,NA,Light_trap,NA,NA,Richness,Abundance,NA,NA,No,NA,NA,NA,Specifically focused on nocturnal flying community
89,Landscape,Landscape_Complexity,NA,Intensity_Gradient,NA,NA,Cropping,NA,Wheat,NA,Asia,China,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,Grassland,Woodland,Parasitoid,Plant_Dwelling,Surface_Active,Biological_Control,NA,Pitfall_trap,Sweep_Netting,NA,Richness,Parasitism,Abundance,NA,No,NA,NA,NA,
90,No_Enviro_Variable,NA,NA,Intensity_Gradient,NA,NA,Livestock,NA,Cattle_Grazing,NA,Europe,Austria,Temperate,Temperate_Forest,47.116667,11.3,Grassland,NA,Endogeic_Community,NA,NA,Decomp_Soil_Properties,NA,Soil_Monoliths,NA,NA,Abundance,Richness,Composition,Diversity,No,NA,NA,NA,
91,No_Enviro_Variable,NA,NA,Organic,Conventional,NA,Cropping,Veg_Fruit_Ground,Cereal,Various_Veg,Europe,Finland,Boreal,Boreal,60.00936,23.40421,Conifer_Forests,Wetland,Flying_Community,Surface_Active,NA,Biodiversity_Ecosystem_Resilience,NA,Visual,Pitfall_trap,NA,Richness,Abundance,Diversity,NA,No,NA,NA,NA,
92,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Livestock,Orchid,Cattle_Grazing,Mango,Africa,South_Africa,Tropical_Subtropical,Tropical_Subtropical_Grasslands,-22.699167,30.611944,NA,NA,Isoptera,NA,NA,Decomp_Soil_Properties,NA,Transect_Search,NA,NA,Richness,Diversity,Abundance,Composition,Yes,Nesting_Strategy,Diet,NA,
93,No_Enviro_Variable,NA,NA,Organic,Conventional,NA,Cropping,NA,Rice,NA,Asia,Taiwan,Tropical_Subtropical,Tropical_Subtropical_Forest,24.796083,121.7575,Forest,NA,Plant_Dwelling,NA,NA,Biological_Control,NA,Sweep_Netting,NA,NA,Richness,Abundance,Composition,NA,Yes,Trophic_Group,NA,NA,
94,Landscape,Proportion_Habitat,NA,Intensively_Managed,NA,NA,Cropping,NA,Wheat,NA,Europe,Germany,Temperate,Temperate_Forest,NA,NA,Woodland,NA,Coleoptera,Gastropoda,NA,Biological_Control,NA,Pitfall_trap,NA,NA,Richness,Density,NA,NA,No,NA,NA,NA,
95,Both,Proportion_Farming,Distance_To_Flowers,Intensively_Managed,NA,NA,Cropping,NA,Unspecified,NA,Europe,Sweden,Temperate,Temperate_Forest,NA,NA,NA,NA,Diptera,Hymenoptera,Surface_Active,Pollination,Biological_Control,Suction,Pitfall_trap,Trap_Nests,Abundance,NA,NA,NA,No,NA,NA,NA,
96,Site,Proportion_Veg,Time_Since_Fire,Unspecified,NA,NA,Livestock,NA,Cattle_Grazing,NA,North_America,USA,Temperate,Temperate_Grasslands,NA,NA,Grassland,Forest,Formicidae,NA,NA,Bio_Indicators,NA,Sweep_Netting,NA,NA,Abundance,NA,NA,NA,Yes,Feeding_Stratergy,NA,NA,
97,Landscape,Landscape_Complexity,NA,Gradient_Inputs,NA,NA,Cropping,NA,Cotton,NA,Asia,China,Temperate,Temperate_Forest,NA,NA,Forest,Grassland,Aphididae,Plant_Dwelling,NA,Biological_Control,NA,Visual,NA,NA,Abundance,Density,NA,NA,No,NA,NA,NA,
98,Landscape,Landscape_Complexity,NA,Unspecified,NA,NA,Agroforestry,NA,Coffee,NA,Africa,Ethiopia,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,NA,NA,Hymenoptera,NA,NA,Pollination,NA,Pan_trap,NA,NA,Abundance,Diversity,Richness,NA,No,NA,NA,NA,
99,Site,Proportion_Veg,NA,Organic,NA,NA,Cropping,NA,Buckwheat,NA,Asia,Japan,Temperate,Temperate_Forest,36.5,140.383333,Forest,Grassland,Hymenoptera,Diptera,Coleoptera,Pollination,NA,Sweep_Netting,NA,NA,Abundance,NA,NA,NA,No,NA,NA,NA,
100,No_Enviro_Variable,NA,NA,Commercial,NA,NA,Cropping,NA,Soybean,Maize,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Grasslands,-18.933333,-48.3,Savannah,Woodland,Formicidae,NA,NA,Natural_Enemies,NA,Baited_Pitfall,Baited_Subterranean_Trap,NA,Abundance,Diversity,Richness,NA,Yes,Microhabitat_Preference,NA,NA,
101,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Veg_Fruit_Ground,NA,Vineyard,NA,Europe,Spain,Mediterrane,Mediterrane,NA,NA,NA,NA,Flying_Community,NA,NA,Biological_Control,NA,Sticky_Traps,NA,NA,Abundance,Diversity,NA,NA,Yes,Service_or_Disservice,NA,NA,
102,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Orchid,NA,Loquat,NA,Asia,Pakistan,Desert,Desert,32.930278,-72.855556,NA,NA,Hymenoptera,Diptera,NA,Pollination,NA,Live_Capture,NA,NA,Abundance,Diversity,NA,NA,No,NA,NA,NA,
103,Site,Veg_Species,NA,Organic,Conventional,NA,Livestock,NA,Dairy,NA,Oceania,New_Zealand,Temperate,Temperate_Forest,NA,NA,NA,NA,Coleoptera,Arachnida,NA,Biodiversity_Ecosystem_Resilience,NA,Suction,Visual,NA,Abundance,Composition,Density,NA,No,NA,NA,NA,
104,No_Enviro_Variable,NA,NA,Organic,Conventional,NA,Veg_Fruit_Ground,NA,Raspberry,NA,North_America,Canada,Temperate,Temperate_Forest,46.432167,-64.7695,NA,NA,Coleoptera,NA,NA,Natural_Enemies,NA,Pitfall_trap,NA,NA,Richness,Composition,Density,NA,No,NA,NA,NA,
105,Site,Veg_Complexity,NA,Organic,Conventional,NA,Agroforestry,NA,Coffee,NA,North_America,Jamacia,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,NA,NA,Plant_Dwelling,NA,NA,Pests_Herbivory,NA,Live_Capture,NA,NA,Abundance,Composition,NA,NA,Yes,Size,NA,NA,
106,Both,Veg_Complexity,Proportion_Habitat,Intensively_Managed,NA,NA,Veg_Fruit_Ground,NA,Broccoli,NA,Europe,France,Temperate,Temperate_Forest,NA,NA,Grassland,Woodland,Coleoptera,Aphididae,Lepidoptera,Biological_Control,NA,Visual,NA,NA,Diversity,Abundance,NA,NA,No,NA,NA,NA,
107,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Agroforestry,NA,Tea_Plantation,NA,Africa,Tanzania,Tropical_Subtropical,Tropical_Subtropical_Grasslands,-5.066667,38.516667,Moist_Montane_Forest,Riparian,Water_Community,NA,NA,Bio_Indicators,NA,Disturbance_Downstream_Net,NA,NA,Richness,Abundance,Composition,Diversity,No,NA,NA,NA,
108,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Livestock,NA,Cattle_Grazing,NA,Europe,UK,Temperate,Temperate_Forest,51.889444,-5.235,NA,NA,Coleoptera,NA,NA,Decomp_Soil_Properties,NA,Baited_Pitfall,Hand_Search,NA,Survival,NA,NA,NA,No,NA,NA,NA,
109,Site,Proportion_Veg,Soil_Properties,Intensity_Gradient,NA,NA,Veg_Fruit_Ground,NA,Vineyard,NA,Europe,Romania,Temperate,Temperate_Forest,46.15971,23.92991,Forest,Wetland,Surface_Active,NA,NA,Biodiversity_Ecosystem_Resilience,NA,Pitfall_trap,NA,NA,Abundance,Diversity,Density,Richness,No,NA,NA,NA,
110,Site,Proportion_Veg,NA,Unspecified,NA,NA,Cropping,NA,Wheat,NA,Europe,England,Temperate,Temperate_Forest,NA,NA,Woodland,NA,Surface_Active,Plant_Dwelling,NA,Food_Source,NA,Suction,Pitfall_trap,NA,Richness,Abundance,Composition,NA,No,NA,NA,NA,
111,No_Enviro_Variable,NA,NA,Intensively_Managed,NA,NA,Cropping,NA,Rice,NA,Asia,Philippines,Tropical_Subtropical,Tropical_Subtropical_Forest,14.1582,121.268,Forest,NA,Lepidoptera,Hemiptera,Parasitoid,Biological_Control,NA,Sweep_Netting,NA,NA,Abundance,Parasitism,NA,NA,No,NA,NA,NA,
112,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Cropping,NA,Cotton,NA,North_America,Mexico,Tropical_Subtropical,Tropical_Subtropical_Forest,25.823611,-103.2225,NA,NA,Surface_Active,Flying_Community,Plant_Dwelling,Biodiversity_Ecosystem_Resilience,NA,Sweep_Netting,Pitfall_trap,Live_Capture,Richness,NA,NA,NA,No,NA,NA,NA,
113,Both,Proportion_Habitat,Proportion_Farming,Intensity_Gradient,NA,NA,Cropping,NA,Oilseed_Rape_Fields,NA,Europe,France,Temperate,Temperate_Forest,NA,NA,Forest,Grassland,Surface_Active,Flying_Community,Plant_Dwelling,Pollination,Pests_Herbivory,Pitfall_trap,Pan_Trap,Sweep_Netting,Abundance,NA,NA,NA,No,NA,NA,NA,
114,Both,Landscape_Complexity,Veg_Species_Rich,Intensively_Managed,NA,NA,Cropping,NA,Maize,Soybean,South_America,Argentina,Temperate,Temperate_Grasslands,-34.116667,-60.566667,Grassland,Woodland,Surface_Active,NA,NA,Biodiversity_Ecosystem_Resilience,NA,Pitfall_trap,NA,NA,Richness,Abundance,Diversity,NA,Yes,Trophic_Group,NA,NA,
115,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Cropping,NA,Sugarcane,NA,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Grasslands,-17.937778,-51.641944,NA,NA,Surface_Active,NA,NA,Bio_Indicators,NA,Pitfall_trap,NA,NA,Abundance,Richness,Diversity,NA,No,NA,NA,NA,
116,No_Enviro_Variable,NA,NA,Organic,Conventional,NA,Cropping,NA,Rice,NA,Asia,Bangladesh,Tropical_Subtropical,Tropical_Subtropical_Forest,24,90.425,NA,NA,Plant_Dwelling,Parasitoid,Odonata,Biological_Control,NA,Sweep_Netting,Sticky_Traps,NA,Parasitism,Abundance,NA,NA,No,NA,NA,NA,
117,No_Enviro_Variable,NA,NA,Organic,Conventional,NA,Agroforestry,Cropping,Apple,Cereal,Europe,UK,Temperate,Temperate_Forest,NA,NA,NA,NA,Surface_Active,Flying_Community,NA,Biological_Control,NA,Pitfall_trap,Pan_Trap,Visual,Richness,Diversity,NA,NA,Yes,Trophic_Group,Diet,Dispersal_Method,
118,No_Enviro_Variable,NA,NA,Conventional,NA,NA,Cropping,NA,Maize,Soybean,North_America,USA,Temperate,Temperate_Forest,40.716667,-77.916667,NA,NA,Endogeic_Community,Surface_Active,NA,Decomp_Soil_Properties,NA,Soil_Monoliths,Leaf_Litter_Sample,NA,Abundance,Richness,Diversity,NA,Yes,Trophic_Group,NA,NA,
119,Landscape,Proportion_Farming,NA,Conventional,NA,NA,Veg_Fruit_Ground,NA,Pak_Choi,NA,Oceania,New_Zealand,Temperate,Temperate_Forest,NA,NA,Forest,NA,Diptera,Hymenoptera,NA,Pollination,NA,Visual,NA,NA,Evenness,Insect_Flower_Interactions,NA,NA,No,NA,NA,NA,
120,Site,Veg_Species_Rich,NA,Conventional,NA,NA,Agroforestry,NA,Oil_Palm_Plantation,NA,Asia,Indonesia,Tropical_Subtropical,Tropical_Subtropical_Forest,-1.95,103.25,Rainforest,NA,Surface_Active,NA,NA,Biodiversity_Ecosystem_Resilience,NA,Suction,Leaf_Litter_Sample,NA,Diversity,Abundance,Richness,NA,Yes,Trophic_Group,NA,NA,
121,Site,Flower_Species_Rich,Proportion_Flowers,Intensively_Managed,NA,NA,Cropping,Livestock,Ryegrass,Livestock_Grazing,Europe,Scotland,Temperate,Temperate_Forest,55.547222,-4.366667,Grassland,Woodland,Hymenoptera,Lepidoptera,Diptera,Pollination,NA,Visual,NA,NA,Abundance,Richness,Diversity,Insect_Flower_Interactions,No,NA,NA,NA,
122,Landscape,Proportion_Habitat,Proportion_Flowers,Unspecified,NA,NA,Unspecified,NA,Unspecified,NA,Europe,Netherlands,Temperate,Temperate_Forest,NA,NA,Grassland,Woodland,Hymenoptera,NA,NA,Pollination,NA,Pan_trap,Trap_Nests,NA,Richness,Reproduction,NA,NA,No,NA,NA,NA,
123,No_Enviro_Variable,NA,NA,Conventional,NA,NA,Orchid,NA,Apple,Peach,North_America,USA,Temperate,Temperate_Forest,NA,NA,NA,NA,Hymenoptera,Parasitoid,NA,Biological_Control,NA,Sticky_Traps,Live_Capture,NA,Parasitism,Abundance,NA,NA,No,NA,NA,NA,
124,Both,Proportion_Habitat,Water_Properties,Unspecified,NA,NA,Livestock,NA,Cattle_Grazing,Duck_Farming,Europe,France,Temperate,Temperate_Forest,NA,NA,Prairie,Forest,Odonata,NA,NA,Bio_Indicators,NA,Sweep_Netting,Hand_Search,NA,Composition,Richness,Occurrence,NA,No,NA,NA,NA,
125,Both,Landscape_Complexity,Proportion_Veg,Organic,Conventional,Abandoned,Orchid,NA,Olive_Grove,NA,Europe,Spain,Mediterrane,Mediterrane,NA,NA,Forest,Shrublands,Lepidoptera,NA,NA,Bio_Indicators,NA,Visual,NA,NA,Diversity,Richness,Abundance,NA,No,NA,NA,NA,
126,Site,Proportion_Veg,NA,Organic,NA,NA,Cropping,NA,Soybean,NA,North_America,USA,Temperate,Temperate_Grasslands,NA,NA,NA,NA,Surface_Active,Parasitoid,NA,Natural_Enemies,NA,Soil_Emergence_Tents,NA,NA,Abundance,Richness,Composition,NA,No,NA,NA,NA,
127,Site,Elevation,NA,Unspecified,NA,NA,Veg_Fruit_Ground,NA,Bean,NA,Africa,Tanzania,Tropical_Subtropical,Tropical_Subtropical_Grasslands,NA,NA,NA,NA,Plant_Dwelling,Parasitoid,NA,Biological_Control,NA,Pan_trap,Visual,Fluorescent_Dye,Abundance,Movement,Parasitism,Predation_Rate,Yes,Trophic_Group,NA,NA,
128,Site,Proportion_Flowers,Flower_Margin_Age,Unspecified,NA,NA,Cropping,NA,Cereal,Oilseed_Rape_Fields,Europe,Hungary,Temperate,Temperate_Forest,NA,NA,NA,NA,Hymenoptera,Diptera,Lepidoptera,Pollination,NA,Visual,NA,NA,Abundance,NA,NA,NA,No,NA,NA,NA,
129,Site,Flower_Species,NA,Unspecified,NA,NA,Cropping,NA,Wheat,NA,Europe,Belgium,Temperate,Temperate_Forest,50.514556,4.730876,NA,NA,Hymenoptera,Diptera,NA,Pollination,NA,Pan_trap,Visual,NA,Abundance,Diversity,Richness,Composition,No,NA,NA,NA,
130,Landscape,Distance_To_Habitat,NA,Unspecified,NA,NA,Veg_Fruit_Ground,NA,Various_Veg,NA,Asia,India,Tropical_Subtropical,Tropical_Subtropical_Forest,11.59316,77.0703,Forest,NA,Hymenoptera,Diptera,Lepidoptera,Pollination,NA,Visual,NA,NA,Richness,NA,NA,NA,No,NA,NA,NA,
131,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Cropping,NA,Cereal,Oilseed_Rape_Fields,Europe,Belgium,Temperate,Temperate_Forest,50.366667,5.216667,NA,NA,Hymenoptera,Diptera,Lepidoptera,Pollination,NA,Visual,Live_Capture,NA,Abundance,Insect_Flower_Interactions,NA,NA,No,NA,NA,NA,
132,Landscape,Landscape_Complexity,Proportion_Habitat,Gradient_Inputs,NA,NA,Agroforestry,NA,Coffee,NA,South_America,Brazil,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,Forest,Mountains,Hymenoptera,NA,NA,Biological_Control,NA,Malaise_Trap,Baited_Bottle_Trap,Visual,Richness,Abundance,NA,NA,No,NA,NA,NA,
133,No_Enviro_Variable,NA,NA,Unspecified,NA,NA,Agroforestry,NA,Oil_Palm_Plantation,Rubber_Plantation,Asia,Indonesia,Tropical_Subtropical,Tropical_Subtropical_Forest,NA,NA,Lowland_Rainforest,NA,Surface_Active,NA,NA,Biodiversity_Ecosystem_Resilience,NA,Leaf_Litter_Sample,NA,NA,Diversity,Richness,Density,Dispersion,Yes,Trophic_Group,Dispersal_Method,Size,
134,Landscape,Proportion_Habitat,Proportion_Farming,Conventional,NA,NA,Veg_Fruit_Ground,NA,Faba_Bean,NA,Europe,Germany,Temperate,Temperate_Forest,51.533333,9.933333,Grassland,Forest,Hymenoptera,NA,NA,Pollination,NA,Visual,NA,NA,Density,Richness,Composition,NA,Yes,Size,Tongue_Length,Pollen_Collection_Behaviour,
135,Both,Patch_Density,Elevation,Unspecified,NA,NA,Agroforestry,NA,Coffee,NA,Africa,Kenya,Tropical_Subtropical,Tropical_Subtropical_Grasslands,36.9226,-0.7262,Mountains,NA,Hemiptera,Coleoptera,NA,Pests_Herbivory,NA,Visual,BROCAP_traps,NA,Abundance,NA,NA,NA,No,NA,NA,NA,
136,Landscape,Proportion_Habitat,Proportion_Farming,Unspecified,NA,NA,Cropping,NA,Wheat,Alfalfa,Europe,Serbia,Temperate,Temperate_Forest,NA,NA,Grassland,Shrublands,Aphididae,Plant_Dwelling,Parasitoid,Biological_Control,NA,Visual,Sweep_Netting,NA,Abundance,Richness,Parasitism,NA,No,NA,NA,NA,
137,No_Enviro_Variable,NA,NA,Intensively_Managed,NA,NA,Cropping,NA,Various_Annual_Crops,NA,Europe,Sweden,Boreal,Boreal,56,13.5,Forest,NA,Hymenoptera,NA,NA,Pollination,NA,Pan_trap,NA,NA,Abundance,Richness,NA,NA,Yes,Social_Behaviour,NA,NA,
138,Landscape,Proportion_Habitat,NA,Conventional,NA,NA,Veg_Fruit_Ground,NA,Vineyard,NA,Europe,France,Temperate,Temperate_Forest,NA,NA,Woodland,Grassland,Lepidoptera,Parasitoid,NA,Biological_Control,NA,Visual,Live_Capture,NA,Density,Parasitism,Predation_Rate,NA,No,NA,NA,NA,
